.metric,.estimator,.estimate,umi_cutoff,group
recall,binary,0.5877483443708609,176,CD4-22h-2e11
precision,binary,0.9916083916083916,177,CD4-22h-2e11
recall,binary,0.5869205298013245,177,CD4-22h-2e11
precision,binary,0.991578947368421,178,CD4-22h-2e11
recall,binary,0.5848509933774835,178,CD4-22h-2e11
precision,binary,0.9915759915759915,179,CD4-22h-2e11
recall,binary,0.5846440397350994,179,CD4-22h-2e11
precision,binary,0.9915641476274165,180,CD4-22h-2e11
recall,binary,0.5838162251655629,180,CD4-22h-2e11
precision,binary,0.9915403595347198,181,CD4-22h-2e11
recall,binary,0.5821605960264901,181,CD4-22h-2e11
precision,binary,0.9915194346289753,182,CD4-22h-2e11
recall,binary,0.5807119205298014,182,CD4-22h-2e11
precision,binary,0.9915014164305949,183,CD4-22h-2e11
recall,binary,0.5794701986754967,183,CD4-22h-2e11
precision,binary,0.9914833215046132,184,CD4-22h-2e11
recall,binary,0.578228476821192,184,CD4-22h-2e11
precision,binary,0.991817858413376,185,CD4-22h-2e11
recall,binary,0.5769867549668874,185,CD4-22h-2e11
precision,binary,0.9918032786885246,186,CD4-22h-2e11
recall,binary,0.5759519867549668,186,CD4-22h-2e11
precision,binary,0.9917886469118172,187,CD4-22h-2e11
recall,binary,0.5749172185430463,187,CD4-22h-2e11
precision,binary,0.9917710196779964,188,CD4-22h-2e11
recall,binary,0.5736754966887417,188,CD4-22h-2e11
precision,binary,0.991765127103473,189,CD4-22h-2e11
recall,binary,0.5732615894039735,189,CD4-22h-2e11
precision,binary,0.9917533166009322,190,CD4-22h-2e11
recall,binary,0.5724337748344371,190,CD4-22h-2e11
precision,binary,0.9917385057471264,191,CD4-22h-2e11
recall,binary,0.5713990066225165,191,CD4-22h-2e11
precision,binary,0.9917206623470123,192,CD4-22h-2e11
recall,binary,0.5701572847682119,192,CD4-22h-2e11
precision,binary,0.9917176809506661,193,CD4-22h-2e11
recall,binary,0.5699503311258278,193,CD4-22h-2e11
precision,binary,0.9917117117117117,194,CD4-22h-2e11
recall,binary,0.5695364238410596,194,CD4-22h-2e11
precision,binary,0.9916907514450867,195,CD4-22h-2e11
recall,binary,0.5680877483443708,195,CD4-22h-2e11
precision,binary,0.9916787264833574,196,CD4-22h-2e11
recall,binary,0.5672599337748344,196,CD4-22h-2e11
precision,binary,0.9916666666666667,197,CD4-22h-2e11
recall,binary,0.566432119205298,197,CD4-22h-2e11
