conditions,genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
6h-2e10,Id3,1.6329181576038687e-18,-0.7348074619964067,0.637,0.753,2.2519574311514955e-14
6h-2e10,Cd226,4.888554153713057e-18,-0.6166335519537801,0.558,0.703,6.741805033385677e-14
6h-2e10,Mir155hg,6.295652940803439e-18,-0.7716727557482689,0.419,0.585,8.682334970662022e-14
6h-2e10,Samhd1,1.1226859126909086e-17,0.7414506968731459,0.604,0.452,1.548296142192032e-13
6h-2e10,Rsl1d1,1.3280803417458325e-17,-0.41614586070721915,0.82,0.886,1.8315555993016775e-13
6h-2e10,St3gal1,1.8442374150676565e-17,-0.7895305168816942,0.318,0.493,2.5433878191198053e-13
6h-2e10,Bcl2,2.0247119464353446e-17,0.6728882723927228,0.604,0.466,2.7922802453289835e-13
6h-2e10,Arhgap15,3.2624864397671745e-17,0.3956581059759168,0.93,0.875,4.4992950490829103e-13
6h-2e10,Selplg,3.391214509197707e-17,0.6970108075873964,0.567,0.413,4.676823929634558e-13
6h-2e10,Socs2,6.00023071502613e-17,1.1091245372447398,0.298,0.158,8.274918179092535e-13
6h-2e10,Tnfsf11,6.188969335233472e-17,-0.7190791599715192,0.502,0.639,8.535207610220482e-13
6h-2e10,Slfn2,8.036558371152042e-17,-0.5013737707493595,0.633,0.755,1.108321764965578e-12
6h-2e10,Pim2,8.982409936110965e-17,0.7573788861498132,0.495,0.334,1.2387641542890632e-12
6h-2e10,Nfkbia,1.3968785178648838e-16,-0.6368034902607557,0.682,0.767,1.926435163987461e-12
6h-2e10,Il2ra,1.599067085593983e-16,0.4430637482533517,0.939,0.886,2.205273417742662e-12
6h-2e10,Cycs,2.1717951292570723e-16,-0.41402320235282675,0.755,0.845,2.9951226627584283e-12
6h-2e10,Cnbp,2.279130294233713e-16,-0.30358600057084195,0.922,0.974,3.1431485887777137e-12
6h-2e10,Nop56,4.574397513457721e-16,-0.38569922498646125,0.813,0.893,6.308551610809543e-12
6h-2e10,Ccl4,5.77570143890464e-16,-1.165102810579101,0.332,0.482,7.96526985439339e-12
6h-2e10,Ddx21,7.990912309566432e-16,-0.477975665901809,0.597,0.754,1.1020267166123067e-11
6h-2e10,Igfbp4,8.613111446270375e-16,1.0160519158497112,0.407,0.266,1.1878341995551474e-11
6h-2e10,Dkc1,1.7516861663957365e-15,-0.39712368926199193,0.736,0.837,2.41575039207636e-11
6h-2e10,Nfkb2,6.335611516498454e-15,-0.7112102138094667,0.444,0.586,8.737441842403017e-11
6h-2e10,Gtpbp4,8.637653964128022e-15,-0.420514039643236,0.681,0.803,1.1912188581928956e-10
6h-2e10,Marcksl1,9.844598312149008e-15,-0.4799902027952264,0.683,0.782,1.3576685532284698e-10
6h-2e10,Cish,1.1283707825846408e-14,0.6675688965375315,0.47,0.315,1.5561361462624782e-10
6h-2e10,Cd274,1.1976565439076545e-14,-0.6531176362758824,0.392,0.547,1.6516881397030464e-10
6h-2e10,Ltb,1.2075335830302329e-14,0.661370531584891,0.568,0.421,1.6653095643569942e-10
6h-2e10,Dgka,1.7067497544550985e-14,0.5738061601758367,0.654,0.525,2.3537785863690266e-10
6h-2e10,Mybbp1a,2.4245359486823798e-14,-0.3984815380012825,0.746,0.829,3.34367752682787e-10
6h-2e10,Npm3,3.0068650260621084e-14,-0.42925014909090253,0.725,0.801,4.146767557442254e-10
6h-2e10,Ets1,4.259380698992123e-14,0.5415408933843904,0.678,0.55,5.874111921980037e-10
6h-2e10,Tcf7,4.3722709756455755e-14,0.5497361312662052,0.682,0.554,6.029798902512813e-10
